"Global X MSCI China Financials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
10/19/2016,14.04,0.01,0.07,0.13,0.92
10/18/2016,14.03,0.19,1.37,0.01,0.07
10/17/2016,13.84,-0.12,-0.86,0.07,0.48
10/14/2016,13.96,0.16,1.16,0.10,0.72
10/13/2016,13.8,-0.23,-1.64,0.07,0.50
10/12/2016,14.03,-0.04,-0.28,0.07,0.52
10/11/2016,14.07,-0.54,-3.70,-0.02,-0.16
10/10/2016,14.61,0.20,1.39,0.24,1.65
10/07/2016,14.41,-0.11,-0.76,0.03,0.24
10/06/2016,14.52,0.00,0.00,0.10,0.70
10/05/2016,14.52,0.22,1.54,0.18,1.27
10/04/2016,14.3,-0.10,-0.69,-0.03,-0.23
10/03/2016,14.4,-0.06,-0.41,0.15,1.04
09/30/2016,14.46,0.05,0.35,0.31,2.19
09/29/2016,14.41,-0.25,-1.71,-0.06,-0.41
09/28/2016,14.66,0.07,0.48,0.21,1.43
09/27/2016,14.59,0.19,1.32,0.09,0.64
09/26/2016,14.4,-0.26,-1.77,0.06,0.42
09/23/2016,14.66,-0.32,-2.14,0.07,0.49
09/22/2016,14.98,0.03,0.20,0.27,1.82
09/21/2016,14.95,0.34,2.33,0.30,2.05
09/20/2016,14.61,0.04,0.27,0.10,0.67
09/19/2016,14.57,0.13,0.90,0.08,0.55
09/16/2016,14.44,-0.04,-0.28,0.22,1.55
09/15/2016,14.48,0.44,3.13,0.26,1.83
09/14/2016,14.04,0.02,0.14,-0.10,-0.74
09/13/2016,14.02,-0.42,-2.91,-0.13,-0.92
09/12/2016,14.44,-0.04,-0.28,0.18,1.24
09/09/2016,14.48,-0.18,-1.23,-0.40,-2.70
09/08/2016,14.66,0.05,0.34,-0.04,-0.29
09/07/2016,14.61,0.07,0.48,-0.07,-0.49
09/06/2016,14.54,0.19,1.32,-0.08,-0.57
09/02/2016,14.35,0.31,2.21,0.10,0.67
09/01/2016,14.04,0.16,1.15,-0.06,-0.40
08/31/2016,13.88,-0.12,-0.86,-0.10,-0.72
08/30/2016,14,0.13,0.94,-0.05,-0.35
08/29/2016,13.87,0.10,0.73,-0.02,-0.14
08/26/2016,13.77,-0.09,-0.65,-0.15,-1.10
08/25/2016,13.86,0.02,0.14,-0.02,-0.13
08/24/2016,13.84,-0.12,-0.86,-0.06,-0.46
08/23/2016,13.96,-0.01,-0.07,-0.10,-0.68
08/22/2016,13.97,-0.05,-0.36,-0.12,-0.82
08/19/2016,14.02,-0.06,-0.43,-0.05,-0.36
08/18/2016,14.08,0.13,0.93,-0.01,-0.10
08/17/2016,13.95,-0.11,-0.78,-0.03,-0.23
08/16/2016,14.06,-0.09,-0.64,-0.01,-0.06
08/15/2016,14.15,0.41,2.98,0.03,0.21
08/12/2016,13.74,-0.05,-0.36,-0.10,-0.72
08/11/2016,13.79,0.35,2.60,0.08,0.61
08/10/2016,13.44,0.00,0.00,-0.09,-0.63
08/09/2016,13.44,0.15,1.13,-0.05,-0.35
08/08/2016,13.29,0.09,0.68,-0.12,-0.90
08/05/2016,13.2,0.25,1.93,0.04,0.27
08/04/2016,12.95,0.06,0.47,0.01,0.06
08/03/2016,12.89,0.04,0.31,0.01,0.08
08/02/2016,12.85,-0.04,-0.31,-0.23,-1.78
08/01/2016,12.89,0.00,0.00,-0.19,-1.49
07/29/2016,12.89,-0.01,-0.08,0.03,0.21
07/28/2016,12.9,-0.07,-0.54,-0.14,-1.10
07/27/2016,12.97,-0.08,-0.61,-0.12,-0.94
07/26/2016,13.05,0.16,1.24,-0.02,-0.17
07/25/2016,12.89,-0.12,-0.92,-0.13,-1.04
07/22/2016,13.01,0.07,0.54,-0.02,-0.19
07/21/2016,12.94,-0.02,-0.15,-0.13,-1.02
07/20/2016,12.96,0.14,1.09,-0.02,-0.19
07/19/2016,12.82,-0.16,-1.23,-0.12,-0.93
07/18/2016,12.98,0.07,0.54,-0.06,-0.44
07/15/2016,12.91,0.01,0.08,-0.07,-0.56
07/14/2016,12.9,0.18,1.42,-0.02,-0.17
07/13/2016,12.72,-0.04,-0.31,-0.07,-0.54
07/12/2016,12.76,0.25,2.00,0.06,0.45
07/11/2016,12.51,0.12,0.97,0.02,0.19
07/08/2016,12.39,0.22,1.81,0.13,1.03
07/07/2016,12.17,-0.09,-0.73,-0.17,-1.41
07/06/2016,12.26,-0.01,-0.08,0.03,0.26
07/05/2016,12.27,-0.25,-2.00,-0.12,-0.97
07/01/2016,12.52,0.06,0.48,0.10,0.78
06/30/2016,12.46,0.19,1.55,0.04,0.29
06/29/2016,12.27,0.21,1.74,0.09,0.70
06/28/2016,12.06,0.27,2.29,0.04,0.31
06/27/2016,11.79,-0.05,-0.42,-0.27,-2.23
06/24/2016,11.84,-0.71,-5.66,-0.19,-1.59
06/23/2016,12.55,0.32,2.62,0.18,1.47
06/22/2016,12.23,0.06,0.49,-0.09,-0.77
06/21/2016,12.17,0.13,1.08,-0.02,-0.15
06/20/2016,12.04,12.04,0.00,-0.04,-0.36
06/17/2016,0,-11.85,-100.00,0.00,0.00
