Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
04/01/2013,ProShares Ultra FTSE China 50,XPP,50.47,51.65,-2.28461,-1.18,750,37852500
03/28/2013,ProShares Ultra FTSE China 50,XPP,51.65,52.92,-2.39985,-1.27,750,38737500
03/27/2013,ProShares Ultra FTSE China 50,XPP,52.92,52.81,0.20829,0.11,750,39690000
03/26/2013,ProShares Ultra FTSE China 50,XPP,52.81,51.42,2.70323,1.39,750,39607500
03/25/2013,ProShares Ultra FTSE China 50,XPP,51.42,51.76,-0.65688,-0.34,750,38565000
03/22/2013,ProShares Ultra FTSE China 50,XPP,51.76,51.48,0.54390,0.28,750,38820000
03/21/2013,ProShares Ultra FTSE China 50,XPP,51.48,52.64,-2.20365,-1.16,750,38610000
03/20/2013,ProShares Ultra FTSE China 50,XPP,52.64,50.1,5.06986,2.54,750,39480000
03/19/2013,ProShares Ultra FTSE China 50,XPP,50.1,51.35,-2.43427,-1.25,750,37575000
03/18/2013,ProShares Ultra FTSE China 50,XPP,51.35,53.22,-3.51372,-1.87,700,35945000
03/15/2013,ProShares Ultra FTSE China 50,XPP,53.22,54.14,-1.69930,-0.92,700,37254000
03/14/2013,ProShares Ultra FTSE China 50,XPP,54.14,52.94,2.26672,1.2,700,37898000
03/13/2013,ProShares Ultra FTSE China 50,XPP,52.94,54.81,-3.41179,-1.87,700,37058000
03/12/2013,ProShares Ultra FTSE China 50,XPP,54.81,56.69,-3.31628,-1.88,700,38367000
03/11/2013,ProShares Ultra FTSE China 50,XPP,56.69,58.02,-2.29231,-1.33,700,39683000
03/08/2013,ProShares Ultra FTSE China 50,XPP,58.02,56.59,2.52695,1.43,700,40614000
03/07/2013,ProShares Ultra FTSE China 50,XPP,56.59,56.32,0.47940,0.27,700,39613000
03/06/2013,ProShares Ultra FTSE China 50,XPP,56.32,55.53,1.42265,0.79,700,39424000
03/05/2013,ProShares Ultra FTSE China 50,XPP,55.53,54.66,1.59166,0.87,700,38871000
03/04/2013,ProShares Ultra FTSE China 50,XPP,54.66,56.63,-3.47872,-1.97,700,38262000
