Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
08/22/2016,ProShares Ultra MSCI Emerging Markets,EET,57.94,59.59,-2.76892,-1.65,525,30418500
08/19/2016,ProShares Ultra MSCI Emerging Markets,EET,59.59,60.26,-1.11185,-0.67,525,31284750
08/18/2016,ProShares Ultra MSCI Emerging Markets,EET,60.26,59.1,1.96277,1.16,525,31636500
08/17/2016,ProShares Ultra MSCI Emerging Markets,EET,59.1,59.86,-1.26963,-0.76,525,31027500
08/16/2016,ProShares Ultra MSCI Emerging Markets,EET,59.86,60.41,-0.91045,-0.55,525,31426500
08/15/2016,ProShares Ultra MSCI Emerging Markets,EET,60.41,59.27,1.92340,1.14,525,31715250
08/12/2016,ProShares Ultra MSCI Emerging Markets,EET,59.27,59.62,-0.58705,-0.35,525,31116750
08/11/2016,ProShares Ultra MSCI Emerging Markets,EET,59.62,58.12,2.58087,1.5,525,31300500
08/10/2016,ProShares Ultra MSCI Emerging Markets,EET,58.12,58.03,0.15509,0.09,525,30513000
08/09/2016,ProShares Ultra MSCI Emerging Markets,EET,58.03,57.32,1.23866,0.71,525,30465750
08/08/2016,ProShares Ultra MSCI Emerging Markets,EET,57.32,56.52,1.41543,0.8,525,30093000
08/05/2016,ProShares Ultra MSCI Emerging Markets,EET,56.52,55.24,2.31716,1.28,525,29673000
08/04/2016,ProShares Ultra MSCI Emerging Markets,EET,55.24,54.64,1.09810,0.6,525,29001000
08/03/2016,ProShares Ultra MSCI Emerging Markets,EET,54.64,54.28,0.66323,0.36,525,28686000
08/02/2016,ProShares Ultra MSCI Emerging Markets,EET,54.28,55.01,-1.32703,-0.73,525,28497000
08/01/2016,ProShares Ultra MSCI Emerging Markets,EET,55.01,55.35,-0.61427,-0.34,525,28880250
07/29/2016,ProShares Ultra MSCI Emerging Markets,EET,55.35,54.72,1.15132,0.63,525,29058750
07/28/2016,ProShares Ultra MSCI Emerging Markets,EET,54.72,54.69,0.05485,0.03,525,28728000
07/27/2016,ProShares Ultra MSCI Emerging Markets,EET,54.69,54.33,0.66262,0.36,525,28712250
07/26/2016,ProShares Ultra MSCI Emerging Markets,EET,54.33,53.49,1.57039,0.84,525,28523250
07/25/2016,ProShares Ultra MSCI Emerging Markets,EET,53.49,54.58,-1.99707,-1.09,525,28082250
07/22/2016,ProShares Ultra MSCI Emerging Markets,EET,54.58,53.77,1.50642,0.81,525,28654500
07/21/2016,ProShares Ultra MSCI Emerging Markets,EET,53.77,54.17,-0.73842,-0.4,525,28229250
07/20/2016,ProShares Ultra MSCI Emerging Markets,EET,54.17,53.57,1.12003,0.6,525,28439250
07/19/2016,ProShares Ultra MSCI Emerging Markets,EET,53.57,54.72,-2.10161,-1.15,525,28124250
07/18/2016,ProShares Ultra MSCI Emerging Markets,EET,54.72,53.76,1.78571,0.96,475,25992000
07/15/2016,ProShares Ultra MSCI Emerging Markets,EET,53.76,53.98,-0.40756,-0.22,475,25536000
07/14/2016,ProShares Ultra MSCI Emerging Markets,EET,53.98,52.54,2.74077,1.44,475,25640500
07/13/2016,ProShares Ultra MSCI Emerging Markets,EET,52.54,52.64,-0.18997,-0.1,475,24956500
07/12/2016,ProShares Ultra MSCI Emerging Markets,EET,52.64,51.23,2.75229,1.41,475,25004000
07/11/2016,ProShares Ultra MSCI Emerging Markets,EET,51.23,50.27,1.90969,0.96,425,21772750
07/08/2016,ProShares Ultra MSCI Emerging Markets,EET,50.27,48.19,4.31625,2.08,425,21364750
07/07/2016,ProShares Ultra MSCI Emerging Markets,EET,48.19,48.36,-0.35153,-0.17,425,20480750
07/06/2016,ProShares Ultra MSCI Emerging Markets,EET,48.36,48.71,-0.71854,-0.35,425,20553000
