Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
01/08/2019,ProShares Short MSCI Emerging Markets,EUM,19.93,20,-0.35000,-0.07,5550,110611500
01/07/2019,ProShares Short MSCI Emerging Markets,EUM,20,20.05,-0.24938,-0.05,5450,109000000
01/04/2019,ProShares Short MSCI Emerging Markets,EUM,20.05,20.71,-3.18687,-0.66,5400,108270000
01/03/2019,ProShares Short MSCI Emerging Markets,EUM,20.71,20.34,1.81908,0.37,5400,111834000
01/02/2019,ProShares Short MSCI Emerging Markets,EUM,20.34,20.39,-0.24522,-0.05,5550,112887000
12/31/2018,ProShares Short MSCI Emerging Markets,EUM,20.39,20.3,0.44335,0.09,5400,110106000
12/28/2018,ProShares Short MSCI Emerging Markets,EUM,20.3,20.49,-0.92728,-0.19,5400,109620000
12/27/2018,ProShares Short MSCI Emerging Markets,EUM,20.49,20.46,0.14663,0.03,5550,113719500
12/26/2018,ProShares Short MSCI Emerging Markets,EUM,20.46,21,-2.57143,-0.54,5550,113553000
12/24/2018,ProShares Short MSCI Emerging Markets,EUM,21,20.81,0.91302,0.19,5550,116550000
12/21/2018,ProShares Short MSCI Emerging Markets,EUM,20.81,20.66,0.72604,0.15,5350,111333500
12/20/2018,ProShares Short MSCI Emerging Markets,EUM,20.66,20.82,-0.76849,-0.16,5350,110531000
12/19/2018,ProShares Short MSCI Emerging Markets,EUM,20.82,20.48,1.66016,0.34,6200,129084000
12/18/2018,ProShares Short MSCI Emerging Markets,EUM,20.48,20.62,-0.67895,-0.14,6200,126976000
12/17/2018,ProShares Short MSCI Emerging Markets,EUM,20.62,20.42,0.97943,0.2,6700,138154000
12/14/2018,ProShares Short MSCI Emerging Markets,EUM,20.42,20.14,1.39027,0.28,7100,144982000
12/13/2018,ProShares Short MSCI Emerging Markets,EUM,20.14,20.13,0.04968,0.01,7550,152057000
12/12/2018,ProShares Short MSCI Emerging Markets,EUM,20.13,20.47,-1.66097,-0.34,7350,147955500
12/11/2018,ProShares Short MSCI Emerging Markets,EUM,20.47,20.62,-0.72745,-0.15,7450,152501500
12/10/2018,ProShares Short MSCI Emerging Markets,EUM,20.62,20.4,1.07843,0.22,7550,155681000
12/07/2018,ProShares Short MSCI Emerging Markets,EUM,20.4,20.03,1.84723,0.37,8150,166260000
12/06/2018,ProShares Short MSCI Emerging Markets,EUM,20.03,19.84,0.95766,0.19,8700,174261000
12/04/2018,ProShares Short MSCI Emerging Markets,EUM,19.84,19.43,2.11014,0.41,9800,194432000
12/03/2018,ProShares Short MSCI Emerging Markets,EUM,19.43,19.83,-2.01715,-0.4,11050,214701500
11/30/2018,ProShares Short MSCI Emerging Markets,EUM,19.83,19.81,0.10096,0.02,11750,233002500
11/29/2018,ProShares Short MSCI Emerging Markets,EUM,19.81,19.63,0.91696,0.18,12000,237720000
11/28/2018,ProShares Short MSCI Emerging Markets,EUM,19.63,20.12,-2.43539,-0.49,11750,230652500
11/27/2018,ProShares Short MSCI Emerging Markets,EUM,20.12,20.25,-0.64198,-0.13,12300,247476000
11/26/2018,ProShares Short MSCI Emerging Markets,EUM,20.25,20.51,-1.26767,-0.26,12300,249075000
11/23/2018,ProShares Short MSCI Emerging Markets,EUM,20.51,20.27,1.18402,0.24,12150,249196500
11/21/2018,ProShares Short MSCI Emerging Markets,EUM,20.27,20.64,-1.79264,-0.37,12550,254388500
11/20/2018,ProShares Short MSCI Emerging Markets,EUM,20.64,20.21,2.12766,0.43,12550,259032000
11/19/2018,ProShares Short MSCI Emerging Markets,EUM,20.21,19.94,1.35406,0.27,12600,254646000
11/16/2018,ProShares Short MSCI Emerging Markets,EUM,19.94,19.98,-0.20020,-0.04,12600,251244000
11/15/2018,ProShares Short MSCI Emerging Markets,EUM,19.98,20.43,-2.20264,-0.45,12700,253746000
11/14/2018,ProShares Short MSCI Emerging Markets,EUM,20.43,20.55,-0.58394,-0.12,12700,259461000
11/13/2018,ProShares Short MSCI Emerging Markets,EUM,20.55,20.79,-1.15440,-0.24,12700,260985000
11/12/2018,ProShares Short MSCI Emerging Markets,EUM,20.79,20.5,1.41463,0.29,12700,264033000
11/09/2018,ProShares Short MSCI Emerging Markets,EUM,20.5,20.13,1.83805,0.37,12700,260350000
11/08/2018,ProShares Short MSCI Emerging Markets,EUM,20.13,19.61,2.65171,0.52,12800,257664000
11/07/2018,ProShares Short MSCI Emerging Markets,EUM,19.61,19.99,-1.90095,-0.38,12800,251008000
11/06/2018,ProShares Short MSCI Emerging Markets,EUM,19.99,19.96,0.15030,0.03,12800,255872000
11/05/2018,ProShares Short MSCI Emerging Markets,EUM,19.96,20.01,-0.24988,-0.05,12800,255488000
