Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/14/2012,ProShares Short FTSE China 50,YXI,40.15,38.88,3.26646,1.27,250,10037500
03/13/2012,ProShares Short FTSE China 50,YXI,38.88,40.08,-2.99401,-1.2,250,9720000
03/12/2012,ProShares Short FTSE China 50,YXI,40.08,39.83,0.62767,0.25,250,10020000
03/09/2012,ProShares Short FTSE China 50,YXI,39.83,40.09,-0.64854,-0.26,250,9957500
03/08/2012,ProShares Short FTSE China 50,YXI,40.09,41.05,-2.33861,-0.96,250,10022500
03/07/2012,ProShares Short FTSE China 50,YXI,41.05,41.24,-0.46072,-0.19,250,10262500
03/06/2012,ProShares Short FTSE China 50,YXI,41.24,39.8,3.61809,1.44,250,10310000
03/05/2012,ProShares Short FTSE China 50,YXI,39.8,38.75,2.70968,1.05,250,9950000
03/02/2012,ProShares Short FTSE China 50,YXI,38.75,38.7,0.12920,0.05,250,9687500
03/01/2012,ProShares Short FTSE China 50,YXI,38.7,38.75,-0.12903,-0.05,250,9675000
02/29/2012,ProShares Short FTSE China 50,YXI,38.75,38.74,0.02581,0.01,250,9687500
02/28/2012,ProShares Short FTSE China 50,YXI,38.74,39.32,-1.47508,-0.58,250,9685000
02/27/2012,ProShares Short FTSE China 50,YXI,39.32,38.89,1.10568,0.43,250,9830000
02/24/2012,ProShares Short FTSE China 50,YXI,38.89,38.91,-0.05140,-0.02,300,11667000
02/23/2012,ProShares Short FTSE China 50,YXI,38.91,38.71,0.51666,0.2,300,11673000
02/22/2012,ProShares Short FTSE China 50,YXI,38.71,39.14,-1.09862,-0.43,300,11613000
02/21/2012,ProShares Short FTSE China 50,YXI,39.14,38.82,0.82432,0.32,300,11742000
02/17/2012,ProShares Short FTSE China 50,YXI,38.82,38.79,0.07734,0.03,300,11646000
02/16/2012,ProShares Short FTSE China 50,YXI,38.79,39.27,-1.22231,-0.48,300,11637000
02/15/2012,ProShares Short FTSE China 50,YXI,39.27,39.7,-1.08312,-0.43,300,11781000
02/14/2012,ProShares Short FTSE China 50,YXI,39.7,39.67,0.07562,0.03,300,11910000
02/13/2012,ProShares Short FTSE China 50,YXI,39.67,40.18,-1.26929,-0.51,300,11901000
02/10/2012,ProShares Short FTSE China 50,YXI,40.18,39.06,2.86738,1.12,300,12054000
02/09/2012,ProShares Short FTSE China 50,YXI,39.06,38.76,0.77399,0.3,300,11718000
02/08/2012,ProShares Short FTSE China 50,YXI,38.76,39.44,-1.72414,-0.68,300,11628000
02/07/2012,ProShares Short FTSE China 50,YXI,39.44,39.3,0.35623,0.14,300,11832000
02/06/2012,ProShares Short FTSE China 50,YXI,39.3,38.72,1.49793,0.58,300,11790000
02/03/2012,ProShares Short FTSE China 50,YXI,38.72,39.26,-1.37545,-0.54,300,11616000
02/02/2012,ProShares Short FTSE China 50,YXI,39.26,39.79,-1.33199,-0.53,300,11778000
02/01/2012,ProShares Short FTSE China 50,YXI,39.79,40.43,-1.58298,-0.64,300,11937000
01/31/2012,ProShares Short FTSE China 50,YXI,40.43,40.78,-0.85826,-0.35,300,12129000
01/30/2012,ProShares Short FTSE China 50,YXI,40.78,39.66,2.82400,1.12,300,12234000
01/27/2012,ProShares Short FTSE China 50,YXI,39.66,40.09,-1.07259,-0.43,300,11898039.66
01/26/2012,ProShares Short FTSE China 50,YXI,40.09,39.85,0.60226,0.24,300,12027040.09
01/25/2012,ProShares Short FTSE China 50,YXI,39.85,40.34,-1.21468,-0.49,300,11955039.85
01/24/2012,ProShares Short FTSE China 50,YXI,40.34,40.47,-0.32123,-0.13,300,12102040.34
01/23/2012,ProShares Short FTSE China 50,YXI,40.47,40.65,-0.44280,-0.18,300,12141040.47
01/20/2012,ProShares Short FTSE China 50,YXI,40.65,40.72,-0.17191,-0.07,300,12195040.65
01/19/2012,ProShares Short FTSE China 50,YXI,40.72,41.03,-0.75554,-0.31,300,12216040.72
01/18/2012,ProShares Short FTSE China 50,YXI,41.03,41.79,-1.81862,-0.76,300,12309041.03
01/17/2012,ProShares Short FTSE China 50,YXI,41.79,42.84,-2.45098,-1.05,300,12537041.79
01/13/2012,ProShares Short FTSE China 50,YXI,42.84,42.73,0.25743,0.11,300,12852042.84
01/12/2012,ProShares Short FTSE China 50,YXI,42.73,42.82,-0.21018,-0.09,300,12819042.73
01/11/2012,ProShares Short FTSE China 50,YXI,42.82,42.87,-0.11663,-0.05,300,12846042.82
01/10/2012,ProShares Short FTSE China 50,YXI,42.87,43.89,-2.32399,-1.02,300,12861042.87
01/09/2012,ProShares Short FTSE China 50,YXI,43.89,44.85,-2.14047,-0.96,300,13167043.89
01/06/2012,ProShares Short FTSE China 50,YXI,44.85,44.19,1.49355,0.66,250,11212544.85
01/05/2012,ProShares Short FTSE China 50,YXI,44.19,44.49,-0.67431,-0.3,250,11047544.19
01/04/2012,ProShares Short FTSE China 50,YXI,44.49,43.85,1.45952,0.64,250,11122544.49
01/03/2012,ProShares Short FTSE China 50,YXI,43.85,45.29,-3.17951,-1.44,250,10962543.85
12/30/2011,ProShares Short FTSE China 50,YXI,45.29,45.32,-0.06620,-0.03,250,11322545.29
12/29/2011,ProShares Short FTSE China 50,YXI,45.32,45.81,-1.06964,-0.49,250,11330045.32
12/28/2011,ProShares Short FTSE China 50,YXI,45.81,44.94,1.93591,0.87,250,11452545.81
12/27/2011,ProShares Short FTSE China 50,YXI,44.94,44.78,0.35730,0.16,250,11235044.94
12/23/2011,ProShares Short FTSE China 50,YXI,44.78,44.76,0.04468,0.02,250,11195044.78
