"Global X MSCI China Consumer Discretionary ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
7/31/15,--,--,--,-0.12,-0.87
7/30/15,--,--,--,-0.05,-0.40
7/29/15,--,--,--,0.03,0.24
7/28/15,--,--,--,0.00,-0.02
7/27/15,--,--,--,-0.21,-1.55
7/24/15,--,--,--,-0.19,-1.37
7/23/15,--,--,--,-0.19,-1.33
7/22/15,--,--,--,-0.14,-1.00
7/21/15,--,--,--,-0.15,-1.05
7/20/15,--,--,--,-0.09,-0.65
7/17/15,--,--,--,-0.07,-0.53
7/16/15,--,--,--,-0.07,-0.48
7/15/15,--,--,--,-0.16,-1.16
7/14/15,--,--,--,-0.07,-0.50
7/13/15,--,--,--,-0.10,-0.72
7/10/15,--,--,--,-0.07,-0.50
7/9/15,--,--,--,-0.16,-1.19
7/8/15,--,--,--,-0.33,-2.57
7/7/15,--,--,--,-0.26,-1.92
7/6/15,--,--,--,-0.09,-0.68
7/2/15,--,--,--,-0.15,-1.00
7/1/15,--,--,--,-0.25,-1.70
6/30/15,--,--,--,-0.16,-1.09
6/29/15,--,--,--,-0.21,-1.46
6/26/15,--,--,--,-0.18,-1.18
6/25/15,--,--,--,-0.16,-1.06
6/24/15,--,--,--,-0.12,-0.76
6/23/15,--,--,--,-0.06,-0.40
6/22/15,--,--,--,-0.09,-0.61
6/19/15,--,--,--,-0.10,-0.64
6/18/15,--,--,--,-0.04,-0.23
6/17/15,--,--,--,-0.11,-0.75
6/16/15,--,--,--,-0.07,-0.46
6/15/15,--,--,--,-0.16,-1.04
6/12/15,--,--,--,-0.07,-0.46
6/11/15,--,--,--,0.01,0.07
6/10/15,--,--,--,0.03,0.17
6/9/15,--,--,--,-0.06,-0.37
6/8/15,--,--,--,-0.08,-0.50
6/5/15,--,--,--,-0.06,-0.36
6/4/15,--,--,--,-0.09,-0.59
6/3/15,--,--,--,-0.01,-0.09
6/2/15,--,--,--,-0.09,-0.55
6/1/15,--,--,--,-0.16,-0.98
5/29/15,--,--,--,-0.16,-0.99
5/28/15,--,--,--,-0.07,-0.45
5/27/15,--,--,--,-0.01,-0.08
5/26/15,--,--,--,-0.03,-0.21
5/22/15,--,--,--,0.13,0.80
5/21/15,--,--,--,-0.02,-0.10
5/20/15,--,--,--,-0.05,-0.32
5/19/15,--,--,--,-0.03,-0.19
5/18/15,--,--,--,-0.06,-0.35
5/15/15,--,--,--,0.00,0.00
5/14/15,--,--,--,-0.03,-0.16
