"Global X MSCI China Industrials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
6/30/15,--,--,--,-0.08,-0.48
6/29/15,--,--,--,-0.07,-0.42
6/26/15,--,--,--,-0.09,-0.50
6/25/15,--,--,--,-0.07,-0.40
6/24/15,--,--,--,0.00,-0.02
6/23/15,--,--,--,0.03,0.15
6/22/15,--,--,--,-0.01,-0.05
6/19/15,--,--,--,0.05,0.30
6/18/15,--,--,--,0.03,0.18
6/17/15,--,--,--,-0.05,-0.29
6/16/15,--,--,--,0.07,0.38
6/15/15,--,--,--,-0.15,-0.84
6/12/15,--,--,--,-0.03,-0.14
6/11/15,--,--,--,0.05,0.30
6/10/15,--,--,--,0.08,0.43
6/9/15,--,--,--,-0.03,-0.15
6/8/15,--,--,--,-0.06,-0.33
6/5/15,--,--,--,0.08,0.41
6/4/15,--,--,--,-0.02,-0.11
6/3/15,--,--,--,0.10,0.50
6/2/15,--,--,--,0.01,0.05
6/1/15,--,--,--,-0.20,-1.04
5/29/15,--,--,--,-0.02,-0.12
5/28/15,--,--,--,0.09,0.47
5/27/15,--,--,--,0.12,0.62
5/26/15,--,--,--,-0.01,-0.04
5/22/15,--,--,--,0.23,1.18
5/21/15,--,--,--,0.06,0.30
5/20/15,--,--,--,0.03,0.17
5/19/15,--,--,--,0.04,0.23
5/18/15,--,--,--,0.01,0.05
5/15/15,--,--,--,0.09,0.46
5/14/15,--,--,--,0.07,0.37
5/13/15,--,--,--,-0.06,-0.34
5/12/15,--,--,--,0.02,0.08
5/11/15,--,--,--,-0.07,-0.39
5/8/15,--,--,--,0.09,0.46
5/7/15,--,--,--,0.05,0.29
5/6/15,--,--,--,-0.12,-0.66
5/5/15,--,--,--,0.16,0.85
5/4/15,--,--,--,0.29,1.51
5/1/15,--,--,--,0.29,1.47
4/30/15,--,--,--,0.01,0.07
4/29/15,--,--,--,0.13,0.64
4/28/15,--,--,--,0.10,0.47
4/27/15,--,--,--,0.25,1.21
4/24/15,--,--,--,0.15,0.75
4/23/15,--,--,--,0.19,0.95
4/22/15,--,--,--,0.23,1.15
4/21/15,--,--,--,0.19,1.00
4/20/15,--,--,--,0.30,1.54
4/17/15,--,--,--,-0.40,-1.97
4/16/15,--,--,--,0.35,1.74
4/15/15,--,--,--,0.26,1.36
4/14/15,--,--,--,0.24,1.25
4/13/15,--,--,--,0.01,0.06
4/10/15,--,--,--,0.47,2.46
4/9/15,--,--,--,1.07,5.74
4/8/15,--,--,--,1.01,5.52
4/7/15,--,--,--,0.60,3.68
4/6/15,--,--,--,0.40,2.47
4/2/15,--,--,--,0.14,0.85
4/1/15,--,--,--,0.10,0.64
3/31/15,--,--,--,0.05,0.34
3/30/15,--,--,--,0.29,1.87
3/27/15,--,--,--,0.15,1.02
3/26/15,--,--,--,-0.11,-0.80
3/25/15,--,--,--,-0.17,-1.16
3/24/15,--,--,--,-0.01,-0.08
3/23/15,--,--,--,-0.05,-0.37
3/20/15,--,--,--,0.06,0.44
3/19/15,--,--,--,-0.07,-0.49
3/18/15,--,--,--,0.11,0.80
3/17/15,--,--,--,0.10,0.72
3/16/15,--,--,--,0.00,-0.02
3/13/15,--,--,--,-0.09,-0.65
3/12/15,--,--,--,-0.04,-0.27
3/11/15,--,--,--,-0.06,-0.45
3/10/15,--,--,--,-0.20,-1.50
3/9/15,--,--,--,-0.06,-0.44
3/6/15,--,--,--,-0.20,-1.43
3/5/15,--,--,--,-0.05,-0.38
3/4/15,--,--,--,-0.05,-0.37
